player_id,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
1,34,3043,9,15,4,0,4.9,75.4,0.2,9,8.21
2,33,2840,21,12,3,0,4.3,73.4,0.7,14,8.2
3,29,2350,17,8,4,2,3.4,75.3,0.6,8,7.9
4,27,2350,10,3,6,0,1.9,87.0,1.9,2,7.45
5,30,2664,3,6,5,0,1.5,82.3,1,2,7.25
6,31,2780,2,4,2,0,1.3,89.6,0.6,1,7.19
7,28,2375,0,2,1,1,0.2,79.2,1.3,1,6.83
8,11,1190,1,2,4,0,0.8,86.1,1.2,0,6.73
9,11,1143,6,0,0,0,2,78.1,0.5,0,6.69
10,30,2509,9,1,3,0,1.8,69.8,1,0,6.48
11,18,1653,12,1,3,0,4.1,77.1,4.1,6,7.52
12,38,3389,6,3,10,0,1.7,71.6,2.6,4,7.32
13,41,3560,3,0,13,0,0.6,83.2,3.9,3,7.12
14,37,3398,4,0,11,0,1,83.8,1.7,3,7.09
15,20,1767,2,0,3,0,0.6,75.2,4.5,0,7.08
16,31,2605,2,4,9,0,0.7,73.1,0.7,3,7.03
17,17,1500,1,1,3,0,0.8,65.4,1.3,1,7.02
18,27,2460,2,6,6,0,0.7,68.2,4.8,0,6.98
19,29,2541,1,3,4,0,0.7,72.0,3.1,2,6.98
20,42,3780,1,7,10,0,0.6,66.5,3.1,2,6.96
21,46,4009,0,0,3,0,0.1,63.0,2,0,6.84
22,45,4050,0,0,0,0,0,42.9,0.5,1,6.79
23,37,3246,2,4,13,0,0.9,79.3,0.5,0,6.7
24,11,1100,3,2,1,0,1,82.8,1.1,0,6.61
25,20,1766,7,1,2,0,1.5,61.9,2.8,3,6.55
26,6,567,3,3,1,0,4,79.9,0.3,1,8.0
27,7,631,6,2,0,0,3.6,78.8,0.5,3,7.91
28,8,660,3,1,2,0,2.5,85.9,0.3,3,7.73
29,7,609,1,4,0,0,1,86.4,0,1,7.7
30,8,720,1,1,1,0,1,87.8,1.3,0,7.58
31,10,900,6,0,1,0,2.7,84.7,1.4,2,7.52
32,8,720,2,3,0,0,2.9,79.8,0.6,2,7.5
33,5,445,4,2,0,0,3.8,79.0,0,1,7.48
34,5,495,1,0,1,0,1.2,91.2,1.5,0,7.47
35,3,368,1,1,0,0,3.3,82.4,0.5,1,7.46
36,5,450,0,0,0,0,0.6,89.9,1.6,0,7.43
37,5,450,2,0,2,0,2.8,83.1,0.8,0,7.43
38,9,762,3,0,0,0,2.1,84.8,1.6,1,7.42
39,7,615,3,2,0,0,0.7,81.8,1.6,1,7.42
40,3,256,0,0,2,0,0.3,91.1,2.3,0,7.3
41,5,387,2,1,1,0,2.4,66.7,2.6,1,7.29
42,8,765,1,1,1,0,0.4,79.4,2,0,7.26
43,9,754,2,3,1,0,1.1,84.5,0.3,0,7.26
44,4,311,3,0,2,0,1,61.7,1,1,7.24
