player_id,playedgames,playedmins,perfdef,perfattack,perfposs,total
236,33,2644,-31.0,1.601,-151,1.419
237,31,2154,64.0,1.056,205,1.375
235,35,2918,-129.0,1.103,331,1.305
238,33,2716,-7.0,1.373,-165,1.2
239,28,2342,-87.0,711.0,511,1.136
253,33,2877,222.0,233.0,612,1.068
234,25,1963,-40.0,1.081,9,1.05
246,33,2939,499.0,204.0,318,1.022
240,31,2407,-78.0,959.0,122,1.003
242,33,2858,-16.0,932.0,50,965.0
29,26,2166,-57.0,493.0,513,949.0
198,31,2616,2.0,413.0,459,873.0
250,34,2970,362.0,203.0,294,871.0
241,23,1781,7.0,686.0,120,824.0
193,33,1711,72.0,576.0,103,804.0
289,35,3105,459.0,3.0,329,791.0
34,34,2900,-9.0,431.0,339,761.0
247,31,2634,131.0,306.0,270,712.0
67,26,2193,135.0,302.0,271,708.0
251,20,1627,72.0,248.0,318,637.0
248,22,1883,428.0,2.0,201,630.0
258,31,2694,184.0,112.0,329,625.0
249,34,2848,161.0,234.0,209,614.0
243,34,2502,-87.0,953.0,-262,604.0
263,27,1963,255.0,82.0,265,603.0
245,27,2030,4.0,638.0,-58,584.0
244,33,2727,-104.0,768.0,-148,572.0
286,32,2880,311.0,18.0,234,563.0
280,26,1897,266.0,15.0,267,560.0
274,33,2769,-54.0,632.0,-35,543.0
268,27,2254,270.0,31.0,238,539.0
266,32,2652,119.0,148.0,262,529.0
281,32,1379,14.0,336.0,169,519.0
278,30,1645,-16.0,437.0,42,498.0
269,33,2935,610.0,0.0,-121,490.0
288,27,1343,-73.0,350.0,206,483.0
260,24,1703,-59.0,393.0,123,475.0
257,34,3060,169.0,339.0,-37,471.0
77,22,1501,-27.0,388.0,107,468.0
275,26,1905,189.0,53.0,225,467.0
316,16,1149,135.0,32.0,300,466.0
262,33,2810,29.0,465.0,-33,461.0
291,33,2880,260.0,0.0,189,452.0
254,26,2119,205.0,260.0,8,438.0
272,27,1819,-39.0,251.0,224,436.0
270,24,1978,137.0,146.0,158,429.0
259,26,1472,-125.0,612.0,-64,423.0
276,32,2707,176.0,355.0,-119,411.0
51,21,1180,49.0,187.0,164,400.0
277,21,1790,197.0,133.0,61,391.0
265,33,2888,18.0,589.0,-221,387.0
255,32,2705,90.0,509.0,-231,368.0
285,32,1586,-30.0,492.0,-107,355.0
256,21,1613,153.0,273.0,-106,320.0
264,35,3116,354.0,115.0,-152,318.0
267,24,1962,-9.0,103.0,203,298.0
45,26,784,-11.0,249.0,20,269.0
38,24,1110,68.0,251.0,-53,266.0
292,29,1744,34.0,364.0,-143,254.0
82,27,2259,16.0,366.0,-147,236.0
261,21,1653,71.0,84.0,74,230.0
271,26,1861,118.0,216.0,-112,227.0
63,13,870,-25.0,56.0,188,220.0
326,15,1022,69.0,2.0,95,193.0
282,32,2465,22.0,404.0,-233,193.0
273,34,2970,186.0,0.0,-20,157.0
293,24,1570,93.0,84.0,-22,155.0
325,11,990,60.0,14.0,80,153.0
284,32,2331,141.0,290.0,-283,148.0
201,8,688,58.0,36.0,21,115.0
69,3,201,66.0,0.0,21,87.0
296,27,1331,-55.0,301.0,-182,63.0
301,22,1184,-28.0,121.0,-35,57.0
11,6,99,5.0,51.0,-1,55.0
70,12,363,10.0,112.0,-72,50.0
299,19,1710,-89.0,3.0,114,29.0
252,32,2846,-26.0,278.0,-240,12.0
300,17,593,-91.0,159.0,-59,9.0
279,30,2439,55.0,150.0,-160,-2.0
294,27,1554,-22.0,225.0,-234,-31.0
297,28,2434,70.0,79.0,-189,-40.0
143,3,198,-6.0,-3.0,-34,-44.0
283,32,2880,124.0,-34.0,-158,-68.0
295,33,2965,57.0,-23.0,-108,-74.0
287,34,3060,65.0,0.0,-147,-83.0
290,35,3150,17.0,-2.0,-109,-94.0
298,34,3060,-152.0,-6.0,1,-157.0
302,32,2738,-97.0,46.0,-275,-343.0
202,20,1796,-21.0,1.541,149,1.669
203,30,2401,1.0,1.136,69,1.206
61,31,2646,-22.0,1.333,-230,1.08
28,26,2141,-49.0,1.092,-50,993.0
205,27,1872,-99.0,883.0,118,902.0
214,24,2025,316.0,63.0,494,873.0
219,31,2790,497.0,0.0,325,821.0
46,32,2834,310.0,167.0,334,811.0
204,25,1981,18.0,819.0,-40,797.0
215,28,1631,15.0,422.0,259,696.0
196,23,1999,246.0,78.0,361,685.0
220,24,2063,220.0,87.0,331,638.0
209,32,2880,319.0,217.0,64,600.0
78,33,2969,367.0,0.0,226,593.0
64,32,2865,210.0,111.0,251,571.0
208,31,2721,68.0,321.0,131,521.0
206,27,1930,67.0,593.0,-176,484.0
207,25,2044,30.0,258.0,132,421.0
211,29,2446,-60.0,246.0,226,412.0
213,20,1281,55.0,255.0,97,407.0
210,31,2733,207.0,203.0,-36,375.0
212,26,2042,-21.0,338.0,15,332.0
42,31,2343,213.0,72.0,20,305.0
103,28,2434,226.0,0.0,75,301.0
223,34,3060,128.0,3.0,70,202.0
218,21,1682,38.0,430.0,-275,193.0
216,23,1829,-205.0,551.0,-157,189.0
225,17,882,-6.0,168.0,-22,140.0
222,21,1441,160.0,67.0,-104,123.0
92,23,856,-8.0,133.0,-18,106.0
227,30,2579,-22.0,0.0,103,82.0
221,24,1325,-1.0,79.0,0,78.0
337,2,29,9.0,0.0,-2,7.0
229,21,784,-51.0,46.0,11,6.0
118,1,9,0.0,1.0,1,2.0
217,33,2925,-4.0,68.0,-118,-54.0
224,28,2099,-163.0,357.0,-267,-72.0
226,26,2299,-159.0,0.0,-60,-219.0
228,29,2145,-256.0,102.0,-141,-296.0
195,34,2982,411.0,119.0,-126,403.0
319,34,2714,-3.0,599.0,-194,402.0
194,21,1785,133.0,0.0,40,173.0
232,24,1837,108.0,276.0,-231,153.0
329,20,1193,-28.0,188.0,-60,101.0
93,11,544,-15.0,42.0,-129,-102.0
185,20,1739,371.0,41.0,115,526.0
3,16,1336,87.0,221.0,-65,243.0
107,11,990,4.0,723.0,56,784.0
106,10,785,7.0,486.0,24,516.0
111,10,774,23.0,62.0,257,342.0
158,10,813,-14.0,172.0,149,307.0
121,9,789,-74.0,207.0,166,299.0
154,9,522,52.0,159.0,78,288.0
122,9,810,165.0,1.0,109,276.0
109,10,835,111.0,99.0,49,259.0
120,9,810,5.0,117.0,137,259.0
119,10,759,16.0,65.0,170,251.0
320,10,830,30.0,238.0,-19,249.0
117,10,673,-41.0,181.0,106,246.0
318,11,990,72.0,159.0,-1,230.0
152,11,695,-21.0,121.0,127,227.0
112,6,540,101.0,37.0,84,221.0
129,8,617,52.0,100.0,69,220.0
113,9,775,5.0,136.0,73,215.0
131,8,675,43.0,18.0,150,212.0
330,8,658,-22.0,178.0,56,211.0
114,10,765,-23.0,20.0,210,207.0
324,10,833,101.0,22.0,78,201.0
167,7,424,-25.0,118.0,103,195.0
116,9,734,62.0,42.0,90,194.0
133,9,757,100.0,-4.0,90,185.0
153,10,863,-35.0,273.0,-56,182.0
128,9,465,-8.0,132.0,48,172.0
